Gene_ID,Num_Transcripts,Transcripts_IDs,Transcript_Lengths,Difference_Length,Longest_Transcript,Length
g_766,1,['anno1.g792.t1'],[118],0,anno1.g792.t1,118
g_767,2,"['anno1.g793.t1', 'anno1.g793.t2']","[592, 579]",13,anno1.g793.t1,592
g_768,1,['anno1.g794.t1'],[306],0,anno1.g794.t1,306
g_769,1,['anno1.g795.t1'],[526],0,anno1.g795.t1,526
g_770,1,['anno1.g796.t1'],[508],0,anno1.g796.t1,508
g_771,1,['anno1.g797.t1'],[316],0,anno1.g797.t1,316
g_772,1,['anno1.g798.t1'],[381],0,anno1.g798.t1,381
g_773,3,"['anno1.g799.t1', 'anno1.g799.t2', 'anno1.g799.t3']","[399, 402, 475]",76,anno1.g799.t3,475
g_774,1,['anno1.g800.t1'],[256],0,anno1.g800.t1,256
g_775,1,['anno1.g801.t1'],[220],0,anno1.g801.t1,220
g_776,1,['anno1.g802.t1'],[952],0,anno1.g802.t1,952
g_777,1,['anno1.g803.t1'],[554],0,anno1.g803.t1,554
g_778,1,['anno1.g804.t1'],[182],0,anno1.g804.t1,182
g_779,1,['anno1.g805.t1'],[346],0,anno1.g805.t1,346
g_780,1,['anno1.g806.t1'],[7012],0,anno1.g806.t1,7012
g_781,2,"['anno1.g807.t1', 'anno2.5467_t']","[4863, 4885]",22,anno2.5467_t,4885
g_782,1,['anno1.g808.t1'],[326],0,anno1.g808.t1,326
g_783,3,"['anno1.g809.t1', 'anno1.g809.t2', 'anno2.5469_t']","[5514, 5565, 6011]",497,anno2.5469_t,6011
g_784,1,['anno1.g810.t1'],[444],0,anno1.g810.t1,444
g_785,5,"['anno1.g811.t1', 'anno1.g811.t2', 'anno2.MSTRG.154.2', 'anno2.MSTRG.154.3', 'anno2.MSTRG.154.5']","[327, 327, 327, 327, 327]",0,anno1.g811.t1,327
g_786,1,['anno1.g812.t1'],[146],0,anno1.g812.t1,146
g_787,1,['anno1.g813.t1'],[847],0,anno1.g813.t1,847
g_15725,1,['anno2.MSTRG.156.1'],[346],0,anno2.MSTRG.156.1,346
g_788,1,['anno1.g814.t1'],[167],0,anno1.g814.t1,167
g_789,1,['anno1.g815.t1'],[857],0,anno1.g815.t1,857
g_790,1,['anno1.g816.t1'],[604],0,anno1.g816.t1,604
g_791,1,['anno2.MSTRG.160.1'],[294],0,anno2.MSTRG.160.1,294
g_792,1,['anno1.g818.t1'],[223],0,anno1.g818.t1,223
g_793,2,"['anno1.g819.t1', 'anno2.3999_t']","[681, 547]",134,anno1.g819.t1,681
g_15816,1,['anno2.MSTRG.165.1'],[697],0,anno2.MSTRG.165.1,697
g_794,2,"['anno1.g820.t1', 'anno2.MSTRG.166.1']","[435, 434]",1,anno1.g820.t1,435
g_795,1,['anno1.g821.t1'],[403],0,anno1.g821.t1,403
g_796,1,['anno1.g822.t1'],[455],0,anno1.g822.t1,455
g_797,1,['anno1.g823.t1'],[687],0,anno1.g823.t1,687
g_798,1,['anno1.g824.t1'],[494],0,anno1.g824.t1,494
g_799,1,['anno2.MSTRG.176.2'],[485],0,anno2.MSTRG.176.2,485
g_801,1,['anno2.MSTRG.180.1'],[306],0,anno2.MSTRG.180.1,306
g_802,1,['anno2.MSTRG.181.1'],[347],0,anno2.MSTRG.181.1,347
g_15675,1,['anno2.MSTRG.186.1'],[658],0,anno2.MSTRG.186.1,658
g_803,1,['anno1.g831.t1'],[461],0,anno1.g831.t1,461
g_804,1,['anno1.g832.t1'],[212],0,anno1.g832.t1,212
g_805,1,['anno1.g833.t1'],[537],0,anno1.g833.t1,537
g_806,1,['anno1.g834.t1'],[817],0,anno1.g834.t1,817
g_807,2,"['anno1.g836.t1', 'anno2.MSTRG.199.1']","[696, 712]",16,anno2.MSTRG.199.1,712
g_808,2,"['anno1.g837.t1', 'anno2.2345_t']","[1442, 1245]",197,anno1.g837.t1,1442
g_810,1,['anno2.2347_t'],[235],0,anno2.2347_t,235
g_16200,1,['anno2.2348_t'],[553],0,anno2.2348_t,553
g_15624,1,['anno2.MSTRG.198.3'],[411],0,anno2.MSTRG.198.3,411
g_812,1,['anno1.g841.t1'],[408],0,anno1.g841.t1,408
g_813,1,['anno1.g842.t1'],[776],0,anno1.g842.t1,776
g_814,1,['anno1.g843.t1'],[325],0,anno1.g843.t1,325
g_815,1,['anno1.g844.t1'],[244],0,anno1.g844.t1,244
g_816,2,"['anno1.g845.t1', 'anno2.3582_t']","[206, 182]",24,anno1.g845.t1,206
g_817,1,['anno1.g846.t1'],[238],0,anno1.g846.t1,238
g_818,1,['anno1.g847.t1'],[250],0,anno1.g847.t1,250
g_819,1,['anno1.g848.t1'],[381],0,anno1.g848.t1,381
g_820,1,['anno1.g849.t1'],[389],0,anno1.g849.t1,389
g_822,1,['anno2.5415_t'],[424],0,anno2.5415_t,424
g_823,1,['anno1.g852.t1'],[1254],0,anno1.g852.t1,1254
g_824,1,['anno1.g853.t1'],[1253],0,anno1.g853.t1,1253
g_825,1,['anno1.g854.t1'],[259],0,anno1.g854.t1,259
g_826,1,['anno1.g855.t1'],[315],0,anno1.g855.t1,315
g_827,1,['anno1.g856.t1'],[405],0,anno1.g856.t1,405
g_828,2,"['anno1.g857.t1', 'anno2.MSTRG.202.1']","[286, 349]",63,anno2.MSTRG.202.1,349
g_829,1,['anno1.g858.t1'],[375],0,anno1.g858.t1,375
g_830,1,['anno1.g859.t1'],[321],0,anno1.g859.t1,321
g_831,1,['anno1.g860.t1'],[966],0,anno1.g860.t1,966
g_832,2,"['anno1.g861.t1', 'anno2.5102_t']","[359, 370]",11,anno2.5102_t,370
g_833,1,['anno1.g862.t1'],[526],0,anno1.g862.t1,526
g_834,3,"['anno1.g863.t1', 'anno2.4958_t', 'anno2.MSTRG.217.1']","[421, 114, 314]",307,anno1.g863.t1,421
g_835,1,['anno1.g864.t1'],[456],0,anno1.g864.t1,456
g_837,1,['anno1.g866.t1'],[714],0,anno1.g866.t1,714
g_838,1,['anno1.g867.t1'],[548],0,anno1.g867.t1,548
g_839,1,['anno1.g868.t1'],[469],0,anno1.g868.t1,469
g_840,1,['anno1.g869.t1'],[554],0,anno1.g869.t1,554
g_841,1,['anno1.g870.t1'],[391],0,anno1.g870.t1,391
g_842,3,"['anno1.g871.t1', 'anno1.g871.t2', 'anno1.g871.t3']","[573, 590, 605]",32,anno1.g871.t3,605
g_843,1,['anno2.MSTRG.227.1'],[152],0,anno2.MSTRG.227.1,152
g_16828,1,['anno2.MSTRG.228.1'],[171],0,anno2.MSTRG.228.1,171
g_844,1,['anno1.g873.t1'],[148],0,anno1.g873.t1,148
g_845,3,"['anno1.g874.t1', 'anno2.MSTRG.230.1', 'anno2.MSTRG.230.2']","[325, 213, 270]",112,anno1.g874.t1,325
g_846,1,['anno1.g875.t1'],[400],0,anno1.g875.t1,400
g_847,1,['anno1.g876.t1'],[535],0,anno1.g876.t1,535
g_848,1,['anno1.g877.t1'],[212],0,anno1.g877.t1,212
g_849,1,['anno1.g878.t1'],[316],0,anno1.g878.t1,316
g_851,1,['anno1.g880.t1'],[170],0,anno1.g880.t1,170
g_852,1,['anno1.g881.t1'],[451],0,anno1.g881.t1,451
g_853,2,"['anno1.g882.t1', 'anno2.MSTRG.235.26']","[451, 716]",265,anno2.MSTRG.235.26,716
g_16829,1,['anno2.MSTRG.238.1'],[150],0,anno2.MSTRG.238.1,150
g_854,1,['anno1.g884.t1'],[150],0,anno1.g884.t1,150
g_855,1,['anno1.g886.t1'],[451],0,anno1.g886.t1,451
g_856,1,['anno1.g888.t1'],[451],0,anno1.g888.t1,451
g_857,1,['anno1.g889.t1'],[565],0,anno1.g889.t1,565
g_858,1,['anno1.g890.t1'],[210],0,anno1.g890.t1,210
g_859,2,"['anno1.g891.t1', 'anno2.MSTRG.243.2']","[533, 532]",1,anno1.g891.t1,533
g_860,2,"['anno1.g892.t1', 'anno1.g892.t2']","[390, 239]",151,anno1.g892.t1,390
g_861,1,['anno1.g893.t1'],[428],0,anno1.g893.t1,428
g_862,1,['anno1.g894.t1'],[148],0,anno1.g894.t1,148
g_863,1,['anno1.g895.t1'],[217],0,anno1.g895.t1,217
g_864,1,['anno1.g896.t1'],[1000],0,anno1.g896.t1,1000
g_865,1,['anno1.g897.t1'],[103],0,anno1.g897.t1,103
g_866,2,"['anno1.g898.t1', 'anno1.g898.t2']","[646, 628]",18,anno1.g898.t1,646
g_867,1,['anno1.g899.t1'],[454],0,anno1.g899.t1,454
g_868,1,['anno1.g900.t1'],[348],0,anno1.g900.t1,348
g_869,2,"['anno1.g901.t1', 'anno2.MSTRG.250.1']","[838, 839]",1,anno2.MSTRG.250.1,839
g_15504,1,['anno2.MSTRG.253.1'],[386],0,anno2.MSTRG.253.1,386
g_871,1,['anno1.g903.t1'],[141],0,anno1.g903.t1,141
g_872,1,['anno1.g904.t1'],[447],0,anno1.g904.t1,447
g_873,1,['anno1.g905.t1'],[448],0,anno1.g905.t1,448
g_874,1,['anno1.g906.t1'],[448],0,anno1.g906.t1,448
g_875,3,"['anno1.g907.t1', 'anno1.g907.t2', 'anno2.5640_t']","[2305, 2314, 5113]",2808,anno2.5640_t,5113
g_876,1,['anno1.g908.t1'],[227],0,anno1.g908.t1,227
g_877,2,"['anno1.g910.t1', 'anno2.MSTRG.259.3']","[757, 644]",113,anno1.g910.t1,757
g_878,2,"['anno1.g911.t1', 'anno2.MSTRG.262.2']","[1164, 1147]",17,anno1.g911.t1,1164
g_880,2,"['anno1.g913.t1', 'anno1.g913.t2']","[506, 480]",26,anno1.g913.t1,506
g_881,1,['anno1.g914.t1'],[192],0,anno1.g914.t1,192
g_882,1,['anno2.MSTRG.267.3'],[345],0,anno2.MSTRG.267.3,345
g_883,1,['anno1.g916.t1'],[304],0,anno1.g916.t1,304
g_884,2,"['anno1.g917.t1', 'anno2.MSTRG.269.1']","[1246, 1780]",534,anno2.MSTRG.269.1,1780
g_885,1,['anno1.g918.t1'],[378],0,anno1.g918.t1,378
g_886,1,['anno2.MSTRG.270.1'],[575],0,anno2.MSTRG.270.1,575
g_887,2,"['anno1.g921.t1', 'anno2.2379_t']","[968, 709]",259,anno1.g921.t1,968
g_888,2,"['anno1.g922.t1', 'anno2.MSTRG.273.2']","[704, 704]",0,anno1.g922.t1,704
g_889,1,['anno1.g923.t1'],[575],0,anno1.g923.t1,575
g_890,1,['anno1.g924.t1'],[1369],0,anno1.g924.t1,1369
g_15783,1,['anno2.MSTRG.277.1'],[1513],0,anno2.MSTRG.277.1,1513
g_891,1,['anno1.g925.t1'],[422],0,anno1.g925.t1,422
g_892,1,['anno1.g926.t1'],[574],0,anno1.g926.t1,574
g_893,1,['anno1.g927.t1'],[513],0,anno1.g927.t1,513
g_894,4,"['anno1.g928.t1', 'anno2.MSTRG.283.2', 'anno2.MSTRG.283.3', 'anno2.MSTRG.283.4']","[296, 310, 265, 311]",46,anno2.MSTRG.283.4,311
g_895,2,"['anno1.g929.t1', 'anno2.MSTRG.288.1']","[685, 689]",4,anno2.MSTRG.288.1,689
g_896,2,"['anno1.g930.t1', 'anno1.g930.t2']","[1971, 2071]",100,anno1.g930.t2,2071
g_15411,1,['anno2.MSTRG.294.1'],[169],0,anno2.MSTRG.294.1,169
g_897,2,"['anno1.g931.t1', 'anno1.g931.t2']","[802, 836]",34,anno1.g931.t2,836
g_15284,1,['anno2.MSTRG.296.1'],[277],0,anno2.MSTRG.296.1,277
g_898,1,['anno2.MSTRG.297.1'],[495],0,anno2.MSTRG.297.1,495
g_899,1,['anno1.g933.t1'],[377],0,anno1.g933.t1,377
g_900,1,['anno1.g934.t1'],[806],0,anno1.g934.t1,806
g_901,3,"['anno1.g935.t1', 'anno2.MSTRG.300.1', 'anno2.MSTRG.300.3']","[434, 419, 440]",21,anno2.MSTRG.300.3,440
g_902,2,"['anno1.g936.t1', 'anno2.5779_t']","[707, 675]",32,anno1.g936.t1,707
g_903,1,['anno1.g937.t1'],[188],0,anno1.g937.t1,188
g_904,1,['anno1.g938.t1'],[310],0,anno1.g938.t1,310
g_905,2,"['anno1.g939.t1', 'anno1.g939.t2']","[426, 423]",3,anno1.g939.t1,426
g_16058,1,['anno2.1366_t'],[245],0,anno2.1366_t,245
g_906,1,['anno1.g940.t1'],[102],0,anno1.g940.t1,102
g_16059,1,['anno2.1367_t'],[27],0,anno2.1367_t,27
g_907,2,"['anno1.g941.t1', 'anno2.1368_t']","[75, 171]",96,anno2.1368_t,171
g_908,1,['anno1.g942.t1'],[222],0,anno1.g942.t1,222
g_909,1,['anno1.g943.t1'],[222],0,anno1.g943.t1,222
g_910,1,['anno1.g944.t1'],[332],0,anno1.g944.t1,332
g_911,1,['anno1.g945.t1'],[428],0,anno1.g945.t1,428
g_912,1,['anno1.g946.t1'],[718],0,anno1.g946.t1,718
g_913,1,['anno1.g947.t1'],[222],0,anno1.g947.t1,222
g_917,3,"['anno1.g951.t1', 'anno1.g951.t2', 'anno2.MSTRG.313.2']","[557, 556, 568]",12,anno2.MSTRG.313.2,568
g_914,1,['anno1.g948.t1'],[611],0,anno1.g948.t1,611
g_915,1,['anno1.g949.t1'],[373],0,anno1.g949.t1,373
g_916,1,['anno1.g950.t1'],[392],0,anno1.g950.t1,392
g_15382,1,['anno2.MSTRG.314.1'],[334],0,anno2.MSTRG.314.1,334
g_918,1,['anno1.g952.t1'],[379],0,anno1.g952.t1,379
g_919,1,['anno1.g953.t1'],[1374],0,anno1.g953.t1,1374
g_920,1,['anno1.g954.t1'],[467],0,anno1.g954.t1,467
g_921,1,['anno1.g955.t1'],[217],0,anno1.g955.t1,217
g_922,1,['anno1.g956.t1'],[325],0,anno1.g956.t1,325
g_923,1,['anno1.g957.t1'],[168],0,anno1.g957.t1,168
g_924,1,['anno1.g958.t1'],[448],0,anno1.g958.t1,448
g_925,1,['anno1.g959.t1'],[229],0,anno1.g959.t1,229
g_926,3,"['anno1.g960.t1', 'anno1.g960.t2', 'anno2.MSTRG.322.3']","[801, 764, 763]",38,anno1.g960.t1,801
g_927,2,"['anno1.g961.t1', 'anno1.g961.t2']","[720, 505]",215,anno1.g961.t1,720
g_928,1,['anno1.g962.t1'],[336],0,anno1.g962.t1,336
g_929,1,['anno1.g963.t1'],[184],0,anno1.g963.t1,184
g_930,1,['anno1.g964.t1'],[312],0,anno1.g964.t1,312
g_931,3,"['anno1.g965.t1', 'anno1.g965.t2', 'anno2.MSTRG.327.1']","[591, 418, 673]",255,anno2.MSTRG.327.1,673
g_932,1,['anno1.g966.t1'],[229],0,anno1.g966.t1,229
g_933,1,['anno1.g967.t1'],[586],0,anno1.g967.t1,586
g_934,4,"['anno1.g968.t1', 'anno1.g968.t2', 'anno1.g968.t3', 'anno2.3683_t']","[520, 509, 508, 490]",30,anno1.g968.t1,520
g_935,1,['anno1.g969.t1'],[433],0,anno1.g969.t1,433
g_936,2,"['anno1.g970.t1', 'anno2.441_t']","[688, 580]",108,anno1.g970.t1,688
g_937,1,['anno1.g971.t1'],[468],0,anno1.g971.t1,468
g_938,2,"['anno2.MSTRG.348.1', 'anno2.MSTRG.348.2']","[1749, 1754]",5,anno2.MSTRG.348.2,1754
g_939,1,['anno1.g973.t1'],[1011],0,anno1.g973.t1,1011
g_940,1,['anno1.g975.t1'],[1153],0,anno1.g975.t1,1153
g_941,3,"['anno1.g976.t1', 'anno1.g977.t1', 'anno2.MSTRG.351.3']","[419, 419, 419]",0,anno1.g976.t1,419
g_943,1,['anno1.g980.t1'],[652],0,anno1.g980.t1,652
g_944,2,"['anno1.g981.t1', 'anno2.1005_t']","[288, 373]",85,anno2.1005_t,373
g_16016,1,['anno2.1006_t'],[280],0,anno2.1006_t,280
g_945,1,['anno1.g982.t1'],[158],0,anno1.g982.t1,158
g_946,1,['anno2.MSTRG.353.2'],[446],0,anno2.MSTRG.353.2,446
g_947,1,['anno1.g984.t1'],[181],0,anno1.g984.t1,181
g_15394,1,['anno2.MSTRG.357.1'],[158],0,anno2.MSTRG.357.1,158
g_948,1,['anno1.g985.t1'],[226],0,anno1.g985.t1,226
g_949,1,['anno1.g986.t1'],[449],0,anno1.g986.t1,449
g_950,3,"['anno1.g987.t1', 'anno2.MSTRG.359.1', 'anno2.MSTRG.359.2']","[1050, 1038, 1042]",12,anno1.g987.t1,1050
g_951,1,['anno1.g988.t1'],[584],0,anno1.g988.t1,584
g_952,1,['anno1.g989.t1'],[381],0,anno1.g989.t1,381
g_953,1,['anno1.g990.t1'],[387],0,anno1.g990.t1,387
g_954,1,['anno1.g991.t1'],[432],0,anno1.g991.t1,432
g_956,1,['anno1.g993.t1'],[467],0,anno1.g993.t1,467
g_957,1,['anno1.g994.t1'],[878],0,anno1.g994.t1,878
g_958,4,"['anno1.g995.t1', 'anno1.g995.t2', 'anno1.g995.t3', 'anno2.5706_t']","[642, 643, 802, 783]",160,anno1.g995.t3,802
g_959,1,['anno1.g996.t1'],[251],0,anno1.g996.t1,251
g_960,1,['anno1.g997.t1'],[155],0,anno1.g997.t1,155
g_961,1,['anno1.g998.t1'],[83],0,anno1.g998.t1,83
g_963,2,"['anno1.g1000.t1', 'anno2.MSTRG.369.1']","[545, 560]",15,anno2.MSTRG.369.1,560
g_962,1,['anno1.g999.t1'],[559],0,anno1.g999.t1,559
g_964,1,['anno1.g1001.t1'],[231],0,anno1.g1001.t1,231
g_965,3,"['anno1.g1002.t1', 'anno2.MSTRG.371.1', 'anno2.MSTRG.371.2']","[948, 917, 964]",47,anno2.MSTRG.371.2,964
g_966,1,['anno1.g1003.t1'],[654],0,anno1.g1003.t1,654
g_967,3,"['anno1.g1006.t1', 'anno2.MSTRG.377.1', 'anno2.MSTRG.377.2']","[158, 162, 157]",5,anno2.MSTRG.377.1,162
